x,y
1256,758
1257,759
1258,760
1259,761
1260,761
1261,761
1262,762
1263,762
1264,761
1265,761
1266,761
1267,761
1268,760
1269,759
1270,759
1271,758
1272,757
1273,756
1274,756
1275,756
1276,756
1277,757
1278,757
1279,756
1280,756
1281,756
1282,756
1283,757
1284,757
1285,757
1286,757
1287,757
1288,757
1289,757
1290,757
1291,758
1292,758
1293,759
1294,758
1295,757
1296,756
1297,755
1298,754
1299,753
1300,752
1301,751
1302,750
1303,749
1304,749
1305,749
1306,750
1307,749
1308,749
1309,749
1310,749
1311,750
1312,749
1313,748
1314,748
1315,749
1316,748
1317,747
1318,746
1319,746
1320,745
1321,744
1322,744
1323,744
1324,744
1325,744
1326,744
1327,744
1328,744
1329,745
1330,746
1331,746
1332,745
1333,746
1334,747
1335,748
1336,749
1337,750
1338,750
1339,751
1340,751
1341,751
1342,751
1343,751
1344,750
1345,749
1346,748
1347,747
1348,747
1349,747
1350,747
1351,748
1352,749
1353,750
1354,751
1355,752
1356,753
1357,753
1358,753
1359,754
1360,754
1361,754
1362,754
1363,754
1364,754
1365,754
1366,755
1367,755
1368,755
1369,756
1370,756
1371,756
1372,755
1373,755
1374,756
1375,756
1376,756
1377,757
1378,757
1379,756
1380,755
1381,754
1382,753
1383,753
1384,753
1385,753
1386,752
1387,752
1388,752
1389,752
1390,752
1391,752
1392,752
1393,753
1394,754
1395,755
1396,756
1397,757
1398,758
1399,759
1400,760
1401,761
1402,762
1403,763
1404,764
1405,764
1406,764
1407,764
1408,764
1409,764
1410,764
1411,764
1412,763
1413,762
1414,761
1415,761
1416,761
1417,761
1418,760
1419,760
1420,760
1421,761
1422,761
1423,761
1424,760
1425,759
1426,758
1427,757
1428,756
1429,755
1430,755
1431,754
1432,754
1433,753
1434,753
1435,753
1436,753
1437,753
1438,753
1439,753
1440,753
1441,753
1442,753
1443,752
1444,752
1445,752
1446,752
1447,753
1448,753
1449,753
1450,753
1451,753
