x,y
1323,807
1324,807
1325,808
1326,809
1327,810
1328,811
1329,812
1330,813
1331,814
1332,814
1333,815
1334,816
1335,816
1336,817
1337,818
1338,818
1339,819
1340,819
1341,820
1342,820
1343,821
1344,821
1345,821
1346,821
1347,822
1348,822
1349,822
1350,822
1351,822
1352,822
1353,822
1354,822
1355,822
1356,823
1357,823
1358,823
1359,823
1360,823
1361,823
1362,823
1363,823
1364,823
1365,823
1366,823
1367,823
1368,823
1369,823
1370,823
1371,823
1372,823
1373,823
1374,823
1375,823
1376,823
1377,824
1378,824
1379,824
1380,824
1381,824
1382,824
1383,824
1384,824
1385,824
1386,824
1387,824
1388,824
1389,824
1390,824
1391,824
1392,824
1393,824
1394,825
1395,825
1396,825
1397,825
1398,825
1399,825
1400,826
1401,826
1402,826
1403,826
1404,826
1405,826
1406,826
1407,827
1408,827
1409,827
1410,827
1411,828
1412,828
1413,828
1414,828
1415,828
1416,828
1417,828
1418,828
1419,828
1420,828
1421,828
1422,828
1423,828
1424,828
1425,828
1426,830
1427,832
1428,835
1429,837
1430,839
1431,840
1432,840
1433,840
1434,840
1435,840
1436,840
1437,840
1438,840
1439,840
1440,840
1441,840
1442,840
1443,840
1444,840
1445,840
1446,840
1447,840
1448,840
1449,840
1450,840
1451,840
