x,y
522,813
523,813
524,813
525,813
526,813
527,813
528,813
529,814
530,814
531,814
532,814
533,814
534,814
535,814
536,814
537,814
538,814
539,814
540,814
541,814
542,814
543,814
544,814
545,814
546,814
547,814
548,814
549,814
550,814
551,814
552,814
553,814
554,814
555,814
556,814
557,814
558,814
559,814
560,814
561,813
562,813
563,813
564,813
565,813
566,813
567,813
568,813
569,812
570,812
571,812
572,812
573,812
574,812
575,812
576,812
577,811
578,811
579,811
580,811
581,811
582,811
583,810
584,810
585,810
586,810
587,810
588,810
589,809
590,809
591,809
592,809
593,809
594,809
595,809
596,808
597,808
598,808
599,808
600,808
601,808
602,808
603,808
604,808
605,808
606,808
607,808
608,808
609,808
610,808
611,808
612,808
613,808
614,808
615,809
616,809
617,809
618,809
619,809
620,809
621,809
622,809
623,809
624,809
625,809
626,809
627,810
628,810
629,810
630,810
631,810
632,810
633,810
634,810
635,810
636,810
637,810
638,810
639,810
640,810
641,810
642,810
643,810
644,810
645,810
646,810
647,810
648,811
649,811
650,811
651,811
652,811
653,811
654,812
655,812
656,812
657,812
658,812
659,812
660,812
661,812
662,813
663,813
664,813
665,813
666,813
667,813
668,813
669,813
670,814
671,813
672,813
673,813
674,813
675,813
676,813
677,813
678,813
679,813
680,813
681,814
682,815
683,816
684,817
685,817
686,818
687,818
688,818
689,818
690,819
691,819
692,819
693,819
694,819
695,819
696,820
697,820
698,821
699,821
700,822
701,822
702,823
703,823
704,823
705,824
706,824
707,824
708,824
709,824
710,824
711,824
712,824
713,824
714,825
715,825
716,825
717,825
718,825
719,825
720,825
721,824
722,823
723,823
724,822
725,822
726,821
727,821
728,821
729,821
730,821
731,821
732,820
733,818
734,815
735,812
736,809
737,805
738,804
739,801
740,798
741,796
742,794
743,791
744,791
745,791
746,792
747,792
748,792
749,792
750,792
751,792
752,792
753,792
754,792
755,792
756,792
757,794
758,797
759,800
760,803
761,806
762,808
763,808
764,809
765,809
766,810
767,811
768,812
769,813
770,814
771,814
772,814
773,814
774,815
775,815
776,815
777,816
778,816
779,816
780,816
781,817
782,817
783,817
784,817
785,817
786,817
787,818
788,818
789,818
790,817
791,817
792,816
793,816
794,815
795,815
796,815
797,815
798,815
799,815
800,815
801,815
802,815
803,815
804,815
805,815
806,815
807,815
808,815
809,816
810,816
811,816
812,816
813,816
814,817
815,817
816,818
817,819
818,819
819,820
820,820
821,820
822,820
823,819
824,819
825,819
826,819
827,819
828,819
829,819
830,819
831,819
832,819
833,819
834,819
835,819
836,820
837,820
838,820
839,820
840,820
841,820
842,820
843,820
844,821
845,821
846,821
847,821
848,821
849,821
850,822
851,822
852,822
853,822
854,822
855,822
856,821
857,821
858,821
859,821
860,821
861,821
862,821
863,821
864,821
865,821
866,821
867,821
868,821
869,822
870,822
871,822
872,822
873,822
874,822
875,822
876,822
877,822
878,821
879,821
880,821
881,821
882,821
883,821
884,821
885,821
886,821
887,821
888,820
889,820
890,820
891,820
892,820
893,820
894,820
895,820
896,820
897,820
898,820
899,820
900,820
901,820
902,820
903,820
904,820
905,820
906,820
907,819
908,819
909,819
910,819
911,818
912,818
913,817
914,817
915,816
916,816
917,816
918,816
919,816
920,816
921,816
922,816
923,816
924,815
925,815
926,815
927,815
928,815
929,815
930,814
931,814
932,813
933,812
934,812
935,811
936,810
937,810
938,810
939,810
940,810
941,810
942,810
